episode_length,episode_return,episodes,steps,steps_per_second
30,7.3994875,53,1590,170.71019628485996
30,32.791832,54,1620,139.1779561281645
30,-1.405518,55,1650,142.9804873392694
30,-14.229795,56,1680,133.0339739618245
30,7.0059934,57,1710,156.55489724263379
30,12.597964,58,1740,130.27663400841323
30,0.8000965,59,1770,140.79491554819543
30,5.173171,60,1800,153.0136841375637
30,-37.99182,61,1830,173.0680420878894
30,-10.739326,62,1860,139.49240064297987
30,19.8283,63,1890,136.30098865757265
30,-19.170637,64,1920,135.68661704144387
30,10.055939,65,1950,168.11870869819654
30,24.526632,66,1980,137.92651686797305
30,-8.93077,67,2010,126.54078537696002
30,10.65437,68,2040,143.632677661498
30,2.825475,69,2070,171.28230537821761
30,8.941879,70,2100,142.32920206634986
30,24.289915,71,2130,143.69681279313704
30,0.6358956,72,2160,151.4829007197986
30,29.587954,73,2190,166.661306836168
30,-14.631374,74,2220,149.06826646953456
30,-38.009933,75,2250,137.8050695710742
30,5.9208326,76,2280,142.65838729024264
30,6.9222326,77,2310,170.58707417329154
30,-21.228186,78,2340,136.64616724530563
30,-1.8684496,79,2370,138.53103015490305
30,16.17247,80,2400,133.30824582369243
30,-11.668679,81,2430,166.30029155289583
30,6.809841,82,2460,139.50879433756418
30,17.244137,83,2490,142.1524904820543
30,-14.408416,84,2520,135.76831072310645
30,6.0373306,85,2550,162.6163542820366
30,3.8563433,86,2580,145.1163949343264
30,-25.791258,87,2610,143.73784993722919
30,12.800167,88,2640,146.6334778352678
30,41.103485,89,2670,162.00061798331444
30,23.066229,90,2700,141.78232548077085
30,-1.063303,91,2730,136.42867288223985
30,-0.26406598,92,2760,139.41095330370706
30,-18.661621,93,2790,173.34246224336994
30,-1.1322782,94,2820,142.56560975747928
30,-11.311643,95,2850,144.57018705902223
30,-10.566252,96,2880,155.8338338759835
30,-13.931534,97,2910,174.0242720125025
30,6.776658,98,2940,142.79810433424728
30,-3.4626713,99,2970,142.5099042980916
30,8.935402,100,3000,141.15059346931358
30,-47.422314,101,3030,171.12088157177186
30,-9.108699,102,3060,136.85512701849945
30,2.0638247,103,3090,146.26649912295284
30,-7.267409,104,3120,148.14772254985877
30,-0.17104948,105,3150,169.38333427562978
30,2.154412,106,3180,149.32601670687725
30,-2.1275012,107,3210,147.98081163626784
30,21.079407,108,3240,153.21359949151676
30,-19.946342,109,3270,188.98908232339693
30,-27.48069,110,3300,143.374094718947
30,24.23359,111,3330,150.71034258905482
30,-5.3045316,112,3360,157.0649384368041
30,-0.9839575,113,3390,180.63817416782828
30,-3.040609,114,3420,142.90449193196685
30,-8.789364,115,3450,133.4748249211323
30,8.582218,116,3480,147.9301855870811
30,0.63170564,117,3510,163.55399347235237
30,3.846653,118,3540,158.11313404966216
30,-7.443936,119,3570,152.3539411551035
30,5.7144804,120,3600,127.22065957442506
30,-0.96297455,121,3630,163.18936739198665
30,-7.7211676,122,3660,132.04666947909254
30,-14.950158,123,3690,139.870277552681
30,-16.502369,124,3720,126.85090403197758
30,-22.968287,125,3750,171.624325186929
30,-39.32205,126,3780,147.69178763126914
30,-4.465147,127,3810,129.59275272462867
30,6.991418,128,3840,119.8411377130307
30,-7.7009807,129,3870,168.9269445932394
30,28.290178,130,3900,117.45504510424756
30,16.692644,131,3930,139.15656135019194
30,10.387255,132,3960,145.28344498403175
30,-18.118925,133,3990,176.20016635719747
30,-4.5164022,134,4020,155.46935194909494
30,-5.5847125,135,4050,144.16107474820615
30,8.236081,136,4080,147.04920216806474
30,9.403564,137,4110,179.55632168818084
30,-2.179749,138,4140,145.20129612363024
30,12.302305,139,4170,129.33965696946524
30,6.765897,140,4200,143.19755095537778
30,6.4874277,141,4230,161.52418900374963
30,-0.58900666,142,4260,138.87933318028502
30,-2.4830701,143,4290,143.65678312960026
30,0.22545993,144,4320,139.652481199002
30,-8.638906,145,4350,157.5684475210627
30,4.598215,146,4380,139.2005894189997
30,-4.3897414,147,4410,137.63308379893158
30,20.622206,148,4440,141.3035549047264
30,0.21632957,149,4470,175.99290596628936
30,-8.697462,150,4500,135.08573489816163
30,-1.5370355,151,4530,151.51774081290083
30,-2.189558,152,4560,141.7216433653466
30,-5.984779,153,4590,176.30311513516014
30,5.576283,154,4620,131.34988710490632
30,-18.109478,155,4650,142.24151496242436
30,-11.321034,156,4680,133.74096819657285
30,-15.121524,157,4710,154.93106055195884
30,-12.040824,158,4740,137.3972843563859
30,-4.9826465,159,4770,149.85776334860543
30,-5.19467,160,4800,149.31857423082536
30,-9.345032,161,4830,168.91175128198245
30,-12.387557,162,4860,127.77850893227073
30,-51.72504,163,4890,147.77573820856924
30,-19.335257,164,4920,127.42731336421397
30,-5.1394353,165,4950,159.03257770318092
30,-15.118378,166,4980,129.25568829674677
30,3.7188928,167,5010,129.4762057639592
30,-25.387877,168,5040,129.271490521086
30,-39.234047,169,5070,168.51881067717366
30,-21.827782,170,5100,143.5065429769918
30,-13.443577,171,5130,130.3200802867621
30,-8.56837,172,5160,137.41378952598845
30,-27.484098,173,5190,165.31774258180218
30,-8.698149,174,5220,126.51304954584484
30,-7.108924,175,5250,132.94710817150224
30,1.3560213,176,5280,127.29698149360273
30,-13.378609,177,5310,156.27413429510347
30,7.3882003,178,5340,144.40294936164108
30,-3.534118,179,5370,135.25678868491602
30,-11.765705,180,5400,136.85051290752003
30,-19.684147,181,5430,166.35943567227108
30,-4.5805326,182,5460,150.12720873352026
30,5.2336283,183,5490,149.98083359556026
30,1.565752,184,5520,135.90468568243898
30,-8.011073,185,5550,172.03401602362527
30,-22.003092,186,5580,132.1322234554976
30,-9.372519,187,5610,124.37246963562752
30,-8.036699,188,5640,137.84039410162117
30,-8.378366,189,5670,171.57050215708838
30,-5.3887105,190,5700,148.14562947910252
30,7.74182,191,5730,153.21359949151676
30,-20.497719,192,5760,149.5615461417772
30,-1.6997352,193,5790,163.41698831670104
30,-24.142696,194,5820,129.46807930502638
30,-10.518864,195,5850,135.50425964275215
30,2.0425107,196,5880,128.89290433606834
30,-0.69833124,197,5910,168.9875182311182
30,7.1199965,198,5940,152.6374450183535
30,-1.8119924,199,5970,142.8627937631774
30,-13.670312,200,6000,145.18370488145112
30,-6.528149,201,6030,171.57050215708838
30,-5.684768,202,6060,142.4029750580854
30,-8.262321,203,6090,147.12795064754056
30,-17.263926,204,6120,146.1491072797469
30,-9.826694,205,6150,178.005834071316
30,-13.499786,206,6180,132.75816701079438
30,-15.372438,207,6210,126.08772592587397
30,-27.792778,208,6240,149.36501322963295
30,-21.504824,209,6270,170.39118612486322
30,-35.94379,210,6300,124.56417084506833
30,-12.102756,211,6330,137.7649363176225
30,-6.460218,212,6360,139.09241646437715
30,-5.8123803,213,6390,174.32105333156005
30,-11.578611,214,6420,152.15405358017375
30,-13.367842,215,6450,142.04802098843896
30,-20.408438,216,6480,140.94900126354275
30,-7.9938264,217,6510,153.87837860974076
30,-41.355896,218,6540,145.1810246854466
30,-2.97056,219,6570,148.3774471306575
30,-11.567733,220,6600,136.80706622191101
30,-45.452255,221,6630,179.614503440863
30,-36.046883,222,6660,149.83777681719616
30,-5.176168,223,6690,148.3022497124215
30,-12.445141,224,6720,143.54517888799907
30,-12.875152,225,6750,165.75918051186392
30,-11.474165,226,6780,150.88908022131673
30,-3.646803,227,6810,134.96938148344003
30,-42.14544,228,6840,138.7941600815365
30,-11.846977,229,6870,174.6566597773296
30,-7.013197,230,6900,142.25132411212417
30,-23.25953,231,6930,143.51980126309257
30,3.2665458,232,6960,154.2552836757711
30,-8.620888,233,6990,159.3794506354703
30,-7.0541663,234,7020,141.45462189880803
30,13.403603,235,7050,135.315115545055
30,-2.3351533,236,7080,130.25573075394198
30,-12.560776,237,7110,158.9383656378484
30,-31.219429,238,7140,142.36334075910298
30,-21.008677,239,7170,147.57815551231664
